"Tmu","TriNo","Code","Comnt"
515384766,810,1,"Trig. 810"
516082031,910,1,"Trig. 910"
517521484,710,1,"Trig. 710"
518216797,810,1,"Trig. 810"
518914063,910,1,"Trig. 910"
520306641,721,1,"Trig. 721"
521003906,821,1,"Trig. 821"
521701172,921,1,"Trig. 921"
523140625,711,1,"Trig. 711"
523835938,811,1,"Trig. 811"
524533203,911,1,"Trig. 911"
525925781,721,1,"Trig. 721"
526623047,821,1,"Trig. 821"
527320313,921,1,"Trig. 921"
528759766,720,1,"Trig. 720"
529455078,820,1,"Trig. 820"
530152344,920,1,"Trig. 920"
531544922,711,1,"Trig. 711"
532242188,811,1,"Trig. 811"
532939453,911,1,"Trig. 911"
534378906,721,1,"Trig. 721"
535074219,821,1,"Trig. 821"
535771484,921,1,"Trig. 921"
537164063,711,1,"Trig. 711"
537861328,811,1,"Trig. 811"
538558594,911,1,"Trig. 911"
539998047,710,1,"Trig. 710"
540693359,810,1,"Trig. 810"
541390625,910,1,"Trig. 910"
542783203,710,1,"Trig. 710"
543480469,810,1,"Trig. 810"
544177734,910,1,"Trig. 910"
545617188,721,1,"Trig. 721"
546312500,821,1,"Trig. 821"
547009766,921,1,"Trig. 921"
548402344,711,1,"Trig. 711"
549099609,811,1,"Trig. 811"
549796875,911,1,"Trig. 911"
551236328,721,1,"Trig. 721"
551931641,821,1,"Trig. 821"
552628906,921,1,"Trig. 921"
554068359,711,1,"Trig. 711"
554718750,811,1,"Trig. 811"
555416016,911,1,"Trig. 911"
556855469,710,1,"Trig. 710"
557550781,810,1,"Trig. 810"
558248047,910,1,"Trig. 910"
559687500,721,1,"Trig. 721"
560384766,821,1,"Trig. 821"
561080078,921,1,"Trig. 921"
562474609,711,1,"Trig. 711"
563169922,811,1,"Trig. 811"
563867188,911,1,"Trig. 911"
565306641,710,1,"Trig. 710"
566003906,810,1,"Trig. 810"
566699219,910,1,"Trig. 910"
568093750,721,1,"Trig. 721"
568789063,821,1,"Trig. 821"
569486328,921,1,"Trig. 921"
570925781,711,1,"Trig. 711"
571623047,811,1,"Trig. 811"
572318359,911,1,"Trig. 911"
573712891,721,1,"Trig. 721"
574408203,821,1,"Trig. 821"
575105469,921,1,"Trig. 921"
576544922,711,1,"Trig. 711"
577242188,811,1,"Trig. 811"
577937500,911,1,"Trig. 911"
579376953,721,1,"Trig. 721"
580027344,821,1,"Trig. 821"
580724609,921,1,"Trig. 921"
582164063,711,1,"Trig. 711"
582861328,811,1,"Trig. 811"
583556641,911,1,"Trig. 911"
584951172,721,1,"Trig. 721"
585646484,821,1,"Trig. 821"
586343750,921,1,"Trig. 921"
587783203,720,1,"Trig. 720"
588480469,820,1,"Trig. 820"
589175781,920,1,"Trig. 920"
590615234,720,1,"Trig. 720"
591265625,820,1,"Trig. 820"
591962891,920,1,"Trig. 920"
593402344,711,1,"Trig. 711"
594099609,811,1,"Trig. 811"
594794922,911,1,"Trig. 911"
596234375,710,1,"Trig. 710"
596931641,810,1,"Trig. 810"
597628906,910,1,"Trig. 910"
599021484,721,1,"Trig. 721"
599718750,821,1,"Trig. 821"
600414063,921,1,"Trig. 921"
601853516,720,1,"Trig. 720"
602550781,820,1,"Trig. 820"
603248047,920,1,"Trig. 920"
604640625,711,1,"Trig. 711"
605337891,811,1,"Trig. 811"
606033203,911,1,"Trig. 911"
607472656,710,1,"Trig. 710"
608169922,810,1,"Trig. 810"
608867188,910,1,"Trig. 910"
610306641,710,1,"Trig. 710"
610957031,810,1,"Trig. 810"
611652344,910,1,"Trig. 910"
613091797,710,1,"Trig. 710"
613789063,810,1,"Trig. 810"
614486328,910,1,"Trig. 910"
615878906,710,1,"Trig. 710"
616576172,810,1,"Trig. 810"
617271484,910,1,"Trig. 910"
618710938,721,1,"Trig. 721"
619408203,821,1,"Trig. 821"
620105469,921,1,"Trig. 921"
621498047,720,1,"Trig. 720"
622195313,820,1,"Trig. 820"
622890625,920,1,"Trig. 920"
624330078,711,1,"Trig. 711"
625027344,811,1,"Trig. 811"
625724609,911,1,"Trig. 911"
627117188,710,1,"Trig. 710"
627814453,810,1,"Trig. 810"
628509766,910,1,"Trig. 910"
629949219,710,1,"Trig. 710"
630646484,810,1,"Trig. 810"
631343750,910,1,"Trig. 910"
632736328,721,1,"Trig. 721"
633433594,821,1,"Trig. 821"
634128906,921,1,"Trig. 921"
635568359,711,1,"Trig. 711"
636265625,811,1,"Trig. 811"
636962891,911,1,"Trig. 911"
638355469,710,1,"Trig. 710"
639052734,810,1,"Trig. 810"
639748047,910,1,"Trig. 910"
641187500,721,1,"Trig. 721"
641884766,821,1,"Trig. 821"
642582031,921,1,"Trig. 921"
643974609,720,1,"Trig. 720"
644671875,820,1,"Trig. 820"
645367188,920,1,"Trig. 920"
646806641,711,1,"Trig. 711"
647503906,811,1,"Trig. 811"
648201172,911,1,"Trig. 911"
649640625,710,1,"Trig. 710"
650335938,810,1,"Trig. 810"
651033203,910,1,"Trig. 910"
652425781,710,1,"Trig. 710"
653123047,810,1,"Trig. 810"
653820313,910,1,"Trig. 910"
655212891,721,1,"Trig. 721"
655955078,821,1,"Trig. 821"
656652344,921,1,"Trig. 921"
658044922,720,1,"Trig. 720"
658742188,820,1,"Trig. 820"
659439453,920,1,"Trig. 920"
660878906,720,1,"Trig. 720"
661574219,820,1,"Trig. 820"
663181641,711,1,"Trig. 711"
663878906,811,1,"Trig. 811"
664574219,911,1,"Trig. 911"
666013672,710,1,"Trig. 710"
666710938,810,1,"Trig. 810"
667408203,910,1,"Trig. 910"
668847656,710,1,"Trig. 710"
669498047,810,1,"Trig. 810"
670193359,910,1,"Trig. 910"
671632813,721,1,"Trig. 721"
672330078,821,1,"Trig. 821"
673027344,921,1,"Trig. 921"
674466797,720,1,"Trig. 720"
675117188,820,1,"Trig. 820"
675812500,920,1,"Trig. 920"
677251953,720,1,"Trig. 720"
678646484,920,1,"Trig. 920"
680085938,711,1,"Trig. 711"
680736328,811,1,"Trig. 811"
681431641,911,1,"Trig. 911"
682871094,721,1,"Trig. 721"
