weber_version,start_date,start_time,offset,trial,time,sid,condition,version,separation,code,stimulus,stimtrak,value
0.5.0,2017-05-23,13:34:59,3,1,19.652717885615857,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,19.652717885615857,mary,study2,0.0.1,6st,stream_2_up,,,
0.5.0,2017-05-23,13:34:59,3,1,19.652717885615857,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.154521893440688,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.187857028959115,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.224117175646825,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.25745162678868,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.293032533048972,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.326367326379113,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.346445468116144,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.379780261446285,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.42038857343141,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.453722682388616,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.49206537680584,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.534691905439104,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.5513594731965,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.58469426652664,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.62629697281227,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.642964198385016,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.67629864952687,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.70963344285701,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.742967551814218,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.776301318583137,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.809635085352056,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.843243627972697,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.878638384714577,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.922619287965063,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.955954423479852,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,20.97281635323452,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.006150804380013,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.03948491333358,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.07333298658341,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.106936738593504,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.14027118973536,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.174672236553306,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.210154250882624,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.24348835983983,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.27684984372536,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.314920499782602,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.348254950928094,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.3815890598853,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.415274936680362,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.448609387822216,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.481943154591136,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.515276921360055,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.548611714690196,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.57541040151409,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.60874416828665,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.642078277240216,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.675413070570357,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.701299145697703,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.734634281212493,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.771162360018934,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.804499548656167,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.838332223509497,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.871665990278416,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.905714242697286,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.939749149838462,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,21.9755257868419,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.008971106446552,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.04495237104493,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.07835217983302,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.095019063217478,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.131585466922843,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.16491957588005,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.208426550670993,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.241761001812847,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.263869336726202,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.297203787868057,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.33959968272393,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.372933449492848,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.407589083151834,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.44092319210904,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.463829164018534,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.49716327297574,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.53141341549417,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.564747524451377,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.598082659966167,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.631416768923373,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.664751562253514,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.69808567121072,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.73141943797964,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.764753546936845,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.79899342385761,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.832327532814816,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.866852793373255,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.900186560142174,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.9357462508342,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,22.969080701976054,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.010102717576956,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.02677028533435,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.060105078664492,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.096159571199678,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.129493680156884,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.16325244270047,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.196586551654036,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.234904608638317,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.251571834211063,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.29061498462761,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.323949093581177,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.357282860353735,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.39080927818577,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.424143387142976,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.46523452443944,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.481902092196833,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.51523620115404,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.549567099715205,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.582901893045346,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.619661290002114,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.652996083332255,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.69069409817166,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.731185040149285,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.74785226572203,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.7811863746756,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.815648672898533,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.848983466228674,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.882318601743464,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.91565271070067,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.958391134354315,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,23.991724901126872,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.015329618097894,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.04866338487045,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.088823774578486,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.122158567908627,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.160379101704166,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.177045985092263,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.221650694536947,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.25498548786709,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.29310884066581,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.309776408423204,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.34311051738041,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.382152641235734,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.41548675019294,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.44882051696186,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.482154968103714,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.515489419249207,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.557699506771314,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.574366390155774,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.6077015256742,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.65008544399825,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.68909369138055,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.70576057476501,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.739914905032492,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,24.77674068619308,mary,study2,0.0.1,6st,stream_1,,,
