weber_version,start_date,start_time,offset,trial,time,sid,condition,deviant,version,code,stimulus,stimtrak,value
0.5.3,2017-06-08,09:36:26,19,17,1016.7463384572038,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.7630055687187,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.806185117588,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.8398916370934,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.882483313384,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.8991504248988,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.932484647914,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.9683657484566,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.0017006558337,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.0350348788488,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.0683691018639,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.1017026405025,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.1300960648223,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.1634302878374,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.2024221855972,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.2357564085978,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.2690906316129,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.3024255390046,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.3357601041935,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.356528978562,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.3898638859391,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.4300171571231,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.4633513801382,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.4966849187767,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.5309129271045,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.5642471501196,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.6071132582147,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.6237800275267,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.6571142505418,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.6904484735569,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.7270450814103,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.7607700788649,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.7970487975399,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.830383704917,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.8748560259701,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.8915231374849,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.9248570183117,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.9628582926089,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1017.9961928577977,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.0312465567695,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.0645807797846,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.1096454218205,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.1263125333207,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.1602130713145,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.1960394223715,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.2296614223596,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.2673129843315,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.2839804380201,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.3173146610206,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.3536970615387,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.3870312845393,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.4224966312031,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.4558308542182,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.485679588237,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.5190131268755,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.5620558020455,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.5787229135603,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.6120578209375,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.6549235868297,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.6882574676711,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.7132882471342,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.746622127961,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.7806232681323,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.8139581755095,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.8515365100466,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.8848700486851,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1018.8848700486851,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1019.0004811110848,mary,study2,ripple,0.1.0,stream_1_up,,,
0.5.3,2017-06-08,09:36:26,19,17,1019.4826160124503,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1019.5276382236334,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1019.5613108668913,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1019.5947148954874,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1019.630449541175,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1019.6475594391231,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1019.6895717974548,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1019.7229053360934,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1019.7562388747465,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1019.7893818167504,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1019.8227163819392,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1019.8560509471426,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1019.8946681531233,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1019.9135064238362,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1019.9470343231369,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1019.9824493687047,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.0157835917198,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.0508643232606,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.084199572826,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.1175331114646,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.1477103423822,mary,study2,ripple,0.1.0,stream_2,,,
